year,meet,stroke,gender,distance,event_name,field_size,seed_mean,seed_median,seed_std,seed_cv,fastest_seed,slowest_seed,seed_range,seed_skewness,seed_kurtosis,seed_iqr,seed_iqr_ratio,avg_gap,hhi_seed_times,a_final_cutoff_sec,b_final_cutoff_sec,c_final_cutoff_sec,distance_category,stroke_category
2006,2006_Nescac_Msd_Results,Backstroke,Men,100,100_Backstroke,28,57.06857142857143,56.45,3.8162797088691667,0.06687182828197698,51.09,66.0,14.909999999999997,0.7373064495461499,0.11399227568413339,3.125,0.05535872453498671,0.5522222222222221,0.03586230402531973,54.03,55.29,59.68,sprint,back
2006,2006_Nescac_Msd_Results,Breaststroke,Men,100,100_Breaststroke,27,65.06555555555556,63.38,4.437540471037843,0.06820106941604294,60.28,80.32,20.039999999999992,1.8558614217761291,3.304149394131315,2.6500000000000057,0.041811296939097596,0.7707692307692304,0.03717574221006633,60.68,62.79,67.07,sprint,breast
2006,2006_Nescac_Msd_Results,Butterfly,Men,100,100_Butterfly,22,55.307727272727284,55.64,2.492791301147046,0.045071302403276704,50.43,62.39,11.96,0.6051490939616037,1.0128114341387704,2.8874999999999957,0.05189611790079072,0.5695238095238095,0.04554337926193764,52.3,55.08,,sprint,fly
2006,2006_Nescac_Msd_Results,Freestyle,Men,100,100_Freestyle,45,50.626444444444445,50.17,2.3664677433353942,0.04674370814115273,47.33,58.6,11.270000000000003,1.0566227853949652,1.2165224769212344,3.1099999999999994,0.06198923659557503,0.2561363636363637,0.02226685983272623,47.64,48.6,49.15,sprint,free
2006,2006_Nescac_Msd_Results,Backstroke,Men,200,200_Backstroke,27,125.3174074074074,122.61,7.440986390502867,0.05937711722931029,114.97999999999999,141.02,26.04000000000002,0.5523161654540436,-0.5982047942204067,8.960000000000008,0.07307723676698481,1.0015384615384624,0.037160831249499024,119.0,121.57,128.27,short,back
2006,2006_Nescac_Msd_Results,Breaststroke,Men,200,200_Breaststroke,27,142.71962962962965,138.93,10.878820906112493,0.07622512007874471,129.97,179.21,49.24000000000001,1.785161178041247,3.0493916259184966,8.185000000000002,0.05891456128985822,1.8938461538461542,0.03720837670911764,134.68,137.86,145.26,short,breast
2006,2006_Nescac_Msd_Results,Butterfly,Men,200,200_Butterfly,24,123.47416666666668,121.69,7.429846856130722,0.060173290144071065,112.25999999999999,143.98,31.72,0.805173308209246,0.33095362908817094,10.877500000000026,0.08938696688306375,1.3791304347826085,0.04180620435429514,115.98,121.65,131.09,short,fly
2006,2006_Nescac_Msd_Results,Freestyle,Men,200,200_Freestyle,34,111.97647058823529,111.23,5.3761537105744255,0.04801145885677938,103.5,122.46,18.959999999999994,0.258430275346836,-0.983383070916751,8.627499999999998,0.07756450597860287,0.5745454545454544,0.029478338315394523,105.38,108.42,110.78,short,free
2006,2006_Nescac_Msd_Results,IM,Men,200,200_IM,22,124.32818181818183,124.44999999999999,5.2249711929294085,0.042025638246447075,114.87,135.86,20.99000000000001,0.08993824159747013,-0.4599076376484139,7.13000000000001,0.05729208517476907,0.9995238095238099,0.04553486170718509,117.76,123.34,,short,im
2006,2006_Nescac_Msd_Results,IM,Men,400,400_IM,24,271.09833333333336,268.67499999999995,11.007284582897315,0.04060255349988865,253.12,295.99,42.870000000000005,0.5571338208892267,-0.14677192810917816,13.265000000000043,0.049371917744487,1.8639130434782611,0.04173284443571308,255.25,263.0,279.35,middle,im
