year,event_name,stroke,gender,distance,meet,school,swimmer_name,round,fastest_time_sec,fastest_time_format
2002,200_Backstroke,Backstroke,Men,200,2002_Nescac_Msd_Results,Tufts,"Halpert, Rich",Final,116.97,1:56.97
2002,200_Backstroke,Backstroke,Men,200,2002_Nescac_Msd_Results,Williams,"Gamblin, Todd",Prelim,115.42,1:55.42
2002,200_Breaststroke,Breaststroke,Men,200,2002_Nescac_Msd_Results,Amherst,"Kennedy, Pat",Prelim,128.18,2:08.18
2002,200_Breaststroke,Breaststroke,Men,200,2002_Nescac_Msd_Results,Bowdoin,"Driskill, Nick",Prelim,129.85,2:09.85
2002,200_Breaststroke,Breaststroke,Men,200,2002_Nescac_Msd_Results,Colby,"Eck, Jonathan",Final,126.07,2:06.07
2002,200_Breaststroke,Breaststroke,Men,200,2002_Nescac_Msd_Results,Connecticut College,"Sayre, Joe",Prelim,131.03,2:11.03
2002,200_Breaststroke,Breaststroke,Men,200,2002_Nescac_Msd_Results,Hamilton,"Cecere, David",Final,125.69,2:05.69
2002,200_Breaststroke,Breaststroke,Men,200,2002_Nescac_Msd_Results,Middlebury,"Malloy, Mike",Final,133.75,2:13.75
2002,200_Breaststroke,Breaststroke,Men,200,2002_Nescac_Msd_Results,Trinity,"Rorer, Chris K",Prelim,134.85,2:14.85
2002,200_Breaststroke,Breaststroke,Men,200,2002_Nescac_Msd_Results,Tufts,"Duckworth, Tyler",Final,128.21,2:08.21
2002,200_Breaststroke,Breaststroke,Men,200,2002_Nescac_Msd_Results,Wesleyan,"Blondin, Nick",Final,136.37,2:16.37
2002,200_Breaststroke,Breaststroke,Men,200,2002_Nescac_Msd_Results,Williams,"Gansner, Elliot",Final,127.24,2:07.24
2002,200_Butterfly,Butterfly,Men,200,2002_Nescac_Msd_Results,Amherst,"Winograd, Rob",Final,112.96000000000001,1:52.96&
2002,200_Butterfly,Butterfly,Men,200,2002_Nescac_Msd_Results,Bates,"Curll, Nate",Final,123.01,2:03.01
2002,200_Butterfly,Butterfly,Men,200,2002_Nescac_Msd_Results,Colby,"Shanahan Jr., Kearney",Prelim,121.29,2:01.29
2002,200_Butterfly,Butterfly,Men,200,2002_Nescac_Msd_Results,Connecticut College,"Longmire, Andrew",Final,125.56,2:05.56
2002,200_Butterfly,Butterfly,Men,200,2002_Nescac_Msd_Results,Hamilton,"Fink, Andrew",Final,118.33,1:58.33
2002,200_Butterfly,Butterfly,Men,200,2002_Nescac_Msd_Results,Middlebury,"Norman, Robert",Final,116.17,1:56.17
2002,200_Butterfly,Butterfly,Men,200,2002_Nescac_Msd_Results,Trinity,"Sterling, Christia",Prelim,124.1,2:04.10
